Last Seen,Training Stage,Progress,Average Grade,First Name,Last Name,Email,Phone,City,Barriers
2025-07-30,Job Searching,89%,98%,Laurie,Flores,laurie.flores1@hotmail.com,(429)921-6718,Worcester,None
2025-07-31,Job Searching,80%,97%,Janet,Lewis,janet.lewis2@gmail.com,(601)821-6331,Worcester,None
2025-07-28,Job Searching,92%,98%,Brandon,Holloway,brandon.holloway3@yahoo.com,(244)661-5098,Boston,None
2025-07-27,Skills Training,96%,85%,Nina,Brown,nina.brown4@protonmail.com,(240)212-4771,Boston,None
2025-07-29,Job Searching,97%,93%,Monica,Nelson,monica.nelson5@gmail.com,(559)924-8666,Worcester,Community Support
2025-07-31,Job Searching,84%,97%,Edward,Richards,edward.richards6@hotmail.com,(756)565-2492,Springfield,None
2025-07-30,Job Searching,97%,91%,Kimberly,Myers,kimberly.myers7@protonmail.com,(735)342-9289,Boston,None
2025-07-27,Job Searching,92%,93%,Erin,Hickman,erin.hickman8@protonmail.com,(873)141-7622,Worcester,None
2025-07-28,Job Searching,85%,86%,Erica,Ray,erica.ray9@hotmail.com,(629)101-3991,Boston,None
2025-07-31,Job Searching,97%,88%,James,Chen,james.chen10@protonmail.com,(512)813-9378,Boston,None
2025-07-30,Job Searching,97%,94%,Owen,Moore,owen.moore11@protonmail.com,(483)636-2723,Worcester,None
2025-07-30,Job Searching,89%,97%,Jose,Mack,jose.mack12@protonmail.com,(507)233-8074,Boston,None
2025-07-27,Job Searching,93%,94%,Mary,Mcdonald,mary.mcdonald13@outlook.com,(674)736-2242,Springfield,Community Support
2025-07-31,Skills Training,82%,100%,Kendra,Peterson,kendra.peterson14@outlook.com,(978)706-2031,Boston,None
2025-08-01,Job Searching,100%,98%,Heidi,Dunn,heidi.dunn15@yahoo.com,(723)223-1816,Boston,None
2025-07-31,Job Searching,99%,95%,Maya,Patel,maya.patel16@gmail.com,(798)315-7213,Springfield,None
2025-07-28,Job Searching,85%,98%,Gloria,Young,gloria.young17@hotmail.com,(558)446-1395,Boston,None
